#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
A0A1V4HUB8/27-129    -            103 Bac_globin           PF01152.28   121   3.3e-05   23.9   0.0   1   1   4.5e-07   4.4e-05   23.5   0.0    19    97     1    79     1    90 0.87 tr|A0A1V4HUB8|A0A1V4HUB8_NITVU Hemin receptor OS=Nitrobacter vulgaris OX=29421 GN=B2M20_16865 PE=3 SV=1
E5YDT0/27-130        -            104 Bac_globin           PF01152.28   121      0.14   12.3   0.4   1   1     0.012       1.2    9.3   0.4    19    98     2    83     1    90 0.63 tr|E5YDT0|E5YDT0_9ENTR Flavohemoprotein OS=Enterobacteriaceae bacterium 9_2_54FAA OX=469613 GN=hmp PE=3 SV=1
A0A1B8S164/27-128    -            102 Bac_globin           PF01152.28   121      0.14   12.2   0.0   1   1     0.012       1.2    9.3   0.0    72   108    54    90    12   101 0.81 tr|A0A1B8S164|A0A1B8S164_9RHOB Flavohemoprotein OS=Leisingera sp. JC1 OX=1855282 GN=A9D60_04325 PE=3 SV=1
O76243/10-109        -            100 Bac_globin           PF01152.28   121      0.14   12.2   0.0   1   1    0.0022      0.22   11.6   0.0    42   100    35    87    19    94 0.80 sp|O76243|GLBB_CERLA Body wall hemoglobin OS=Cerebratulus lacteus OX=6221 PE=1 SV=3
A0A1Y0D088/27-130    -            104 Bac_globin           PF01152.28   121      0.15   12.2   0.1   1   1    0.0035      0.35   11.0   0.1    69   106    54    91     1    99 0.71 tr|A0A1Y0D088|A0A1Y0D088_9GAMM Flavohemoprotein OS=Oceanisphaera avium OX=1903694 GN=hmp PE=3 SV=1
A0A1X0T5F2/27-128    -            102 Bac_globin           PF01152.28   121      0.15   12.1   0.0   1   1    0.0017      0.17   12.0   0.0    19    97     1    78     1    92 0.78 tr|A0A1X0T5F2|A0A1X0T5F2_9RHIZ GLOBIN domain-containing protein OS=Aurantimonas sp. 22II-16-19i OX=1317114 GN=ATO4_07600 PE=3 SV=1
A0A1W1USG8/34-135    -            102 Bac_globin           PF01152.28   121      0.15   12.1   0.0   1   1    0.0021      0.21   11.7   0.0    19   102     1    83     1    97 0.85 tr|A0A1W1USG8|A0A1W1USG8_9DEIO Hemoglobin-like flavoprotein OS=Deinococcus hopiensis KR-140 OX=695939 GN=SAMN00790413_04957 PE=3 SV=1
A0A2A2MKL7/27-127    -            101 Bac_globin           PF01152.28   121      0.15   12.1   1.7   1   1     0.015       1.5    8.9   1.7    69   106    54    91     1    98 0.83 tr|A0A2A2MKL7|A0A2A2MKL7_9VIBR Flavohemoprotein OS=Vibrio coralliilyticus OX=190893 GN=hmp PE=3 SV=1
A0A120HPB7/27-128    -            102 Bac_globin           PF01152.28   121      0.16   12.0   0.0   1   1     0.002       0.2   11.8   0.0    19    95     1    76     1    93 0.77 tr|A0A120HPB7|A0A120HPB7_9BRAD Hemin receptor OS=Bradyrhizobium sp. CCGE-LA001 OX=1223566 GN=BCCGELA001_12605 PE=3 SV=1
A0A150ZJH4/27-128    -            102 Bac_globin           PF01152.28   121      0.16   12.0   0.0   1   1     0.002       0.2   11.8   0.0    19    95     1    76     1    93 0.77 tr|A0A150ZJH4|A0A150ZJH4_9BRAD Hemin receptor OS=Bradyrhizobium sp. DOA1 OX=1126616 GN=SE91_21685 PE=3 SV=1
A0A0D8D3V2/27-130    -            104 Bac_globin           PF01152.28   121      0.17   11.9   0.0   1   1    0.0027      0.26   11.4   0.0    71   109    56    94    52    99 0.88 tr|A0A0D8D3V2|A0A0D8D3V2_9GAMM Dihydropteridine reductase OS=Thalassomonas actiniarum OX=485447 GN=SG35_04155 PE=3 SV=1
A0A086WT03/27-127    -            101 Bac_globin           PF01152.28   121      0.21   11.7   1.9   1   1     0.021       2.1    8.5   1.9    69   106    54    91     1    98 0.82 tr|A0A086WT03|A0A086WT03_9VIBR Flavohemoprotein OS=Vibrio sp. B183 OX=1526762 GN=hmp PE=3 SV=1
A0A0F4PEE3/27-127    -            101 Bac_globin           PF01152.28   121      0.21   11.7   1.9   1   1     0.021       2.1    8.5   1.9    69   106    54    91     1    98 0.82 tr|A0A0F4PEE3|A0A0F4PEE3_9VIBR Flavohemoprotein OS=Vibrio neptunius OX=170651 GN=hmp PE=3 SV=1
A0A1V0IBW8/27-127    -            101 Bac_globin           PF01152.28   121      0.21   11.7   1.9   1   1     0.021       2.1    8.5   1.9    69   106    54    91     1    98 0.82 tr|A0A1V0IBW8|A0A1V0IBW8_9VIBR Flavohemoprotein OS=Vibrio coralliilyticus OX=190893 GN=hmp PE=3 SV=1
A0A2A2CNB6/27-127    -            101 Bac_globin           PF01152.28   121      0.21   11.7   1.9   1   1     0.021       2.1    8.5   1.9    69   106    54    91     1    98 0.82 tr|A0A2A2CNB6|A0A2A2CNB6_9VIBR Flavohemoprotein OS=Vibrio coralliilyticus OX=190893 GN=hmp PE=3 SV=1
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      modelo_bac_globin.hmm
# Target file:     dominios_globin_recortados.fasta
# Option settings: hmmsearch --domtblout cruce_bac_vs_globin.out modelo_bac_globin.hmm dominios_globin_recortados.fasta 
# Current dir:     /mnt/c/Users/dinob/OneDrive/Escritorio/BioInfoTps/TP4/Archivos
# Date:            Wed Jun  3 02:23:01 2026
# [ok]
