#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
A0A1Y6G5Q4/8-122     -            115 Bac_globin           PF01152.28   121   2.7e-08   32.6   0.2   1   1   2.2e-09   3.5e-08   32.2   0.2     9   118     1   109     1   112 0.84 tr|A0A1Y6G5Q4|A0A1Y6G5Q4_9BACI Truncated hemoglobin YjbI OS=Bacillus sp. OV166 OX=1882763 GN=SAMN05444673_4194 PE=4 SV=1
A0A1V3FU52/52-201    -            150 Bac_globin           PF01152.28   121    0.0066   15.2   0.0   1   1   0.00058    0.0094   14.7   0.0    10    57    27    73    25    94 0.85 tr|A0A1V3FU52|A0A1V3FU52_9BACI Chemotaxis protein OS=Anoxybacillus sp. 103 OX=1919277 GN=BO219_03645 PE=4 SV=1
A0A167VLM6/7-157     -            151 Bac_globin           PF01152.28   121    0.0066   15.2   0.0   1   1    0.0006    0.0098   14.6   0.0    14    57    32    74    24   107 0.87 tr|A0A167VLM6|A0A167VLM6_9BACL Chemotaxis protein OS=Paenibacillus macquariensis subsp. defensor OX=467974 GN=PMSD_25470 PE=4 SV=1
R4G5V6/59-208        -            150 Bac_globin           PF01152.28   121    0.0066   15.2   0.0   1   1    0.0006    0.0098   14.6   0.0    10    57    27    73    25    94 0.85 tr|R4G5V6|R4G5V6_9BACI Methyl-accepting chemotaxis protein OS=Anoxybacillus flavithermus NBRC 109594 OX=1315967 GN=KN10_0468 PE=4 SV=1
A0A1Y0CHK7/28-181    -            154 Bac_globin           PF01152.28   121    0.0068   15.2   0.0   1   1   0.00053    0.0086   14.8   0.0    10    58    29    76    27   139 0.79 tr|A0A1Y0CHK7|A0A1Y0CHK7_9BACI Chemotaxis protein OS=Bacillus horikoshii OX=79883 GN=B4U37_01085 PE=4 SV=1
A0A268HFG7/40-193    -            154 Bac_globin           PF01152.28   121     0.007   15.1   0.0   1   1    0.0009     0.015   14.1   0.0    11    66    30    86    21   100 0.81 tr|A0A268HFG7|A0A268HFG7_9BACI Methyl-accepting transducer domain-containing protein OS=Terribacillus saccharophilus OX=361277 GN=CHI12_05355 PE=4 SV=1
A0A385THD5/6-147     -            142 Bac_globin           PF01152.28   121    0.0071   15.1   0.1   1   1    0.0076      0.12   11.1   0.0     9    64    17    73    16    90 0.80 tr|A0A385THD5|A0A385THD5_PAELA Chemotaxis protein OS=Paenibacillus lautus OX=1401 GN=D5F53_01135 PE=4 SV=1
A0A268I4G5/40-193    -            154 Bac_globin           PF01152.28   121    0.0072   15.1   0.0   1   1   0.00062      0.01   14.6   0.0    11    70    30    90    27   125 0.83 tr|A0A268I4G5|A0A268I4G5_9BACI Methyl-accepting transducer domain-containing protein OS=Virgibacillus sp. 7505 OX=2022548 GN=CHH91_07135 PE=4 SV=1
A0A1H2VVN1/8-157     -            150 Bac_globin           PF01152.28   121    0.0074   15.0   0.0   1   1   0.00098     0.016   14.0   0.0    12    54    30    71    19    84 0.83 tr|A0A1H2VVN1|A0A1H2VVN1_9BACL Heam-based aerotactic trancducer OS=Paenibacillus sp. CF384 OX=1884382 GN=SAMN05518855_1004275 PE=4 SV=1
A0A250IN41/4-157     -            154 Bac_globin           PF01152.28   121    0.0074   15.0   0.0   1   1   0.00076     0.012   14.3   0.0     9    58    28    76    26   101 0.88 tr|A0A250IN41|A0A250IN41_9DELT Histidine kinase OS=Melittangium boletus DSM 14713 OX=1294270 GN=MEBOL_006177 PE=4 SV=1
D3EDS4/9-157         -            149 Bac_globin           PF01152.28   121    0.0075   15.0   0.0   1   1   0.00071     0.011   14.4   0.0    11    56    27    71    24    97 0.83 tr|D3EDS4|D3EDS4_GEOS4 Methyl-accepting chemotaxis sensory transducer OS=Geobacillus sp. (strain Y412MC10) OX=481743 GN=GYMC10_5066 PE=4 SV=1
A0A1H7KGB9/9-157     -            149 Bac_globin           PF01152.28   121    0.0076   15.0   0.0   1   1   0.00073     0.012   14.4   0.0    11    56    27    71    24    96 0.84 tr|A0A1H7KGB9|A0A1H7KGB9_9BACL Heam-based aerotactic trancducer OS=Paenibacillus sp. cl141a OX=1761877 GN=SAMN04488688_102472 PE=4 SV=1
A0A168FAR1/7-157     -            151 Bac_globin           PF01152.28   121    0.0078   15.0   0.0   1   1   0.00069     0.011   14.4   0.0    14    57    32    74    25    99 0.85 tr|A0A168FAR1|A0A168FAR1_9BACL Chemotaxis protein OS=Paenibacillus glacialis OX=494026 GN=PGLA_21605 PE=4 SV=1
A0A2N9Z4M6/8-157     -            150 Bac_globin           PF01152.28   121    0.0078   15.0   0.0   1   1   0.00071     0.012   14.4   0.0    11    57    28    73    21    83 0.83 tr|A0A2N9Z4M6|A0A2N9Z4M6_PAEPO Chemotaxis protein OS=Paenibacillus polymyxa OX=1406 GN=PPYC1_16680 PE=4 SV=1
A0A2M8UJX5/7-167     -            161 Bac_globin           PF01152.28   121    0.0078   15.0   0.0   1   2     0.012       0.2   10.4   0.0    15    78    34    96    26   101 0.78 tr|A0A2M8UJX5|A0A2M8UJX5_RHISP Globin-coupled sensor protein OS=Rhizobium sp. OX=391 GN=CTR54_02120 PE=4 SV=1
A0A2M8UJX5/7-167     -            161 Bac_globin           PF01152.28   121    0.0078   15.0   0.0   2   2       3.5        57    2.5   0.0    73    96   120   143   116   154 0.83 tr|A0A2M8UJX5|A0A2M8UJX5_RHISP Globin-coupled sensor protein OS=Rhizobium sp. OX=391 GN=CTR54_02120 PE=4 SV=1
B9LQ01/37-208        -            172 Bac_globin           PF01152.28   121     0.008   14.9   0.0   1   1   0.00085     0.014   14.2   0.0    13    57    31    75    25    93 0.84 tr|B9LQ01|B9LQ01_HALLT Methyl-accepting chemotaxis sensory transducer OS=Halorubrum lacusprofundi (strain ATCC 49239 / DSM 5036 / JCM 8891 / ACAM 34) OX=416348 GN=Hlac_1861 PE=4 SV=1
A0A385TJ32/9-157     -            149 Bac_globin           PF01152.28   121     0.008   14.9   0.0   1   1   0.00077     0.012   14.3   0.0    11    55    27    70    24    96 0.84 tr|A0A385TJ32|A0A385TJ32_PAELA Chemotaxis protein OS=Paenibacillus lautus OX=1401 GN=D5F53_04650 PE=4 SV=1
A0A1X4H8A7/19-198    -            180 Bac_globin           PF01152.28   121     0.008   14.9   0.1   1   1   0.00079     0.013   14.3   0.1    10    57    29    76    24   103 0.84 tr|A0A1X4H8A7|A0A1X4H8A7_9EURY Methyl-accepting chemotaxis protein OS=Halorubrum ezzemoulense DSM 17463 OX=1121945 GN=B9H04_07525 PE=4 SV=1
F3MJN2/9-157         -            149 Bac_globin           PF01152.28   121    0.0081   14.9   0.0   1   1   0.00077     0.012   14.3   0.0    11    55    27    70    24    96 0.84 tr|F3MJN2|F3MJN2_9BACL Methyl-accepting chemotaxis protein signaling domain protein OS=Paenibacillus sp. HGF5 OX=908341 GN=HMPREF9412_0271 PE=4 SV=1
A0A0H4NZV5/59-205    -            147 Bac_globin           PF01152.28   121    0.0081   14.9   0.0   1   1   0.00072     0.012   14.4   0.0     9    62    23    77    22    95 0.82 tr|A0A0H4NZV5|A0A0H4NZV5_9BACI Methyl-accepting transducer domain-containing protein OS=Bacillus smithii OX=1479 GN=BSM4216_2124 PE=4 SV=1
A0A0S2S120/8-157     -            150 Bac_globin           PF01152.28   121    0.0081   14.9   0.0   1   1   0.00074     0.012   14.4   0.0    11    57    28    73     8    83 0.85 tr|A0A0S2S120|A0A0S2S120_9BACL Chemotaxis protein OS=Paenibacillus sp. IHB B 3084 OX=867076 GN=ASL14_03820 PE=4 SV=1
A0A1R0WUW8/8-156     -            149 Bac_globin           PF01152.28   121    0.0082   14.9   0.0   1   1   0.00087     0.014   14.1   0.0    12    57    29    73    26    92 0.86 tr|A0A1R0WUW8|A0A1R0WUW8_9BACL Chemotaxis protein OS=Paenibacillus odorifer OX=189426 GN=BJP51_31950 PE=4 SV=1
A0A2E5HMM6/10-151    -            142 Bac_globin           PF01152.28   121    0.0083   14.9   0.0   1   1   0.00062      0.01   14.6   0.0    10    59    22    70    20   132 0.79 tr|A0A2E5HMM6|A0A2E5HMM6_9DELT Histidine kinase domain-containing protein OS=Myxococcales bacterium OX=2026763 GN=CMH57_09395 PE=4 SV=1
A0A0B0HJB1/52-201    -            150 Bac_globin           PF01152.28   121    0.0083   14.9   0.0   1   1   0.00076     0.012   14.3   0.0    10    62    27    80    25    95 0.83 tr|A0A0B0HJB1|A0A0B0HJB1_9BACI Heme-based aerotactic transducer HemAT OS=Anoxybacillus sp. BCO1 OX=1548750 GN=hemAT_1 PE=4 SV=1
A0A0D0G3T1/52-201    -            150 Bac_globin           PF01152.28   121    0.0083   14.9   0.0   1   1   0.00076     0.012   14.3   0.0    10    62    27    80    25    95 0.83 tr|A0A0D0G3T1|A0A0D0G3T1_9BACI Heme-based aerotactic transducer hemAT OS=Anoxybacillus ayderensis OX=265546 GN=JV16_02817 PE=4 SV=1
A0A3A8LQ74/5-158     -            154 Bac_globin           PF01152.28   121    0.0085   14.8   0.0   1   1   0.00074     0.012   14.4   0.0     9   103    27   121    26   135 0.80 tr|A0A3A8LQ74|A0A3A8LQ74_9DELT Histidine kinase OS=Corallococcus sp. CA047B OX=2316729 GN=D7X74_08410 PE=4 SV=1
A0A0K9YLT9/37-190    -            154 Bac_globin           PF01152.28   121    0.0087   14.8   0.0   1   1   0.00073     0.012   14.4   0.0    11   113    30   135    27   142 0.71 tr|A0A0K9YLT9|A0A0K9YLT9_9BACL Chemotaxis protein OS=Brevibacillus reuszeri OX=54915 GN=ADS79_27585 PE=4 SV=1
A0A0M0W036/9-157     -            149 Bac_globin           PF01152.28   121    0.0088   14.8   0.0   1   1   0.00083     0.013   14.2   0.0    11    55    27    70    24    97 0.81 tr|A0A0M0W036|A0A0M0W036_9BACI Chemotaxis protein OS=Bacillus sp. FJAT-18019 OX=1705110 GN=AMS62_17975 PE=4 SV=1
A0A0M1NJQ0/9-157     -            149 Bac_globin           PF01152.28   121    0.0088   14.8   0.0   1   1   0.00083     0.013   14.2   0.0    11    55    27    70    24    97 0.81 tr|A0A0M1NJQ0|A0A0M1NJQ0_9BACL Chemotaxis protein OS=Paenibacillus solani OX=1705565 GN=AM231_18200 PE=4 SV=1
A0A1R0YV20/8-156     -            149 Bac_globin           PF01152.28   121    0.0088   14.8   0.0   1   1   0.00094     0.015   14.0   0.0    12    57    29    73    26    91 0.86 tr|A0A1R0YV20|A0A1R0YV20_9BACL Chemotaxis protein OS=Paenibacillus odorifer OX=189426 GN=BSK60_21615 PE=4 SV=1
A0A168QKE8/7-157     -            151 Bac_globin           PF01152.28   121     0.009   14.8   0.0   1   1   0.00082     0.013   14.2   0.0    14    57    32    74    24    98 0.84 tr|A0A168QKE8|A0A168QKE8_9BACL Chemotaxis protein OS=Paenibacillus antarcticus OX=253703 GN=PBAT_03125 PE=4 SV=1
A0A2Z4FIN0/5-158     -            154 Bac_globin           PF01152.28   121     0.009   14.8   0.0   1   1   0.00071     0.011   14.4   0.0    10    57    26    72    22   124 0.85 tr|A0A2Z4FIN0|A0A2Z4FIN0_9DELT Histidine kinase domain-containing protein OS=Bradymonas sediminis OX=1548548 GN=DN745_05215 PE=4 SV=1
A0A168IS62/7-157     -            151 Bac_globin           PF01152.28   121    0.0091   14.7   0.0   1   1   0.00082     0.013   14.2   0.0    14    57    32    74    25   106 0.87 tr|A0A168IS62|A0A168IS62_PAEMC Chemotaxis protein OS=Paenibacillus macquariensis OX=1468 GN=PMSM_00440 PE=4 SV=1
A0A1N6YV42/7-157     -            151 Bac_globin           PF01152.28   121    0.0091   14.7   0.0   1   1   0.00082     0.013   14.2   0.0    14    57    32    74    25   106 0.87 tr|A0A1N6YV42|A0A1N6YV42_9BACL Heam-based aerotactic trancducer OS=Paenibacillus macquariensis OX=948756 GN=SAMN05421578_10896 PE=4 SV=1
A0A0Q0JFK1/18-168    -            151 Bac_globin           PF01152.28   121    0.0092   14.7   0.0   1   1    0.0008     0.013   14.3   0.0    10    82    28    99    26   138 0.71 tr|A0A0Q0JFK1|A0A0Q0JFK1_9GAMM Response regulator PleD OS=Pseudoalteromonas sp. P1-26 OX=1723759 GN=pleD_7 PE=4 SV=1
A0A2E8DCW4/20-169    -            150 Bac_globin           PF01152.28   121    0.0094   14.7   0.0   1   2    0.0068      0.11   11.2   0.0    12    57    26    71    22    85 0.82 tr|A0A2E8DCW4|A0A2E8DCW4_9PLAN Uncharacterized protein OS=Planctomycetaceae bacterium OX=2026779 GN=CMJ64_28560 PE=4 SV=1
A0A2E8DCW4/20-169    -            150 Bac_globin           PF01152.28   121    0.0094   14.7   0.0   2   2         7   1.1e+02    1.5   0.0    30    57    92   119    79   122 0.86 tr|A0A2E8DCW4|A0A2E8DCW4_9PLAN Uncharacterized protein OS=Planctomycetaceae bacterium OX=2026779 GN=CMJ64_28560 PE=4 SV=1
A0A1X6MEU9/52-201    -            150 Bac_globin           PF01152.28   121    0.0096   14.7   0.0   1   1   0.00087     0.014   14.1   0.0    10    57    27    73    25    95 0.84 tr|A0A1X6MEU9|A0A1X6MEU9_9BACI Chemotaxis protein OS=Anoxybacillus ayderensis OX=265546 GN=B7H16_04515 PE=4 SV=1
A0A2V2YLP5/20-167    -            148 Bac_globin           PF01152.28   121    0.0096   14.7   0.0   1   1   0.00082     0.013   14.2   0.0    13    57    29    72    24    97 0.82 tr|A0A2V2YLP5|A0A2V2YLP5_9BACL Heme-based aerotactic transducer OS=Paenibacillus cellulosilyticus OX=375489 GN=DFQ01_13136 PE=4 SV=1
A9GCE3/12-161        -            150 Bac_globin           PF01152.28   121    0.0097   14.7   0.0   1   1   0.00093     0.015   14.0   0.0    10    59    29    77    26   110 0.87 tr|A9GCE3|A9GCE3_SORC5 Two-component sensor histidine kinase OS=Sorangium cellulosum (strain So ce56) OX=448385 GN=sce6012 PE=4 SV=1
D2QY57/13-162        -            150 Bac_globin           PF01152.28   121    0.0097   14.7   0.0   1   1   0.00076     0.012   14.3   0.0    12    81    26    95    22   129 0.74 tr|D2QY57|D2QY57_PIRSD PAS/PAC sensor signal transduction histidine kinase OS=Pirellula staleyi (strain ATCC 27377 / DSM 6068 / ICPB 4128) OX=530564 GN=Psta_1596 PE=4 SV=1
A0A250J4J6/4-156     -            153 Bac_globin           PF01152.28   121    0.0098   14.6   0.0   1   1   0.00083     0.013   14.2   0.0    10    75    29    93    26   134 0.81 tr|A0A250J4J6|A0A250J4J6_9DELT Sensor histidine kinase OS=Cystobacter fuscus OX=43 GN=CYFUS_003735 PE=4 SV=1
A0A371PGI3/10-153    -            144 Bac_globin           PF01152.28   121    0.0099   14.6   0.0   1   1   0.00087     0.014   14.1   0.0     9    57    24    71    23    94 0.85 tr|A0A371PGI3|A0A371PGI3_9BACL Chemotaxis protein OS=Paenibacillus paeoniae OX=2292705 GN=DX130_12515 PE=4 SV=1
A0A1R1AYN0/9-157     -            149 Bac_globin           PF01152.28   121      0.01   14.6   0.0   1   1    0.0011     0.017   13.9   0.0    11    54    27    69    24    89 0.83 tr|A0A1R1AYN0|A0A1R1AYN0_PAELA Chemotaxis protein OS=Paenibacillus lautus OX=1401 GN=BK123_21700 PE=4 SV=1
A0A1I1U9H5/34-177    -            144 Bac_globin           PF01152.28   121      0.01   14.6   0.0   1   1   0.00083     0.013   14.2   0.0    10    57    25    71    22   106 0.85 tr|A0A1I1U9H5|A0A1I1U9H5_9DELT PAS domain S-box-containing protein OS=Nannocystis exedens OX=54 GN=SAMN02745121_01078 PE=4 SV=1
A0A371MSS4/2-174     -            173 Bac_globin           PF01152.28   121      0.01   14.6   0.0   1   1    0.0011     0.017   13.8   0.0     9    57    24    72    16    99 0.81 tr|A0A371MSS4|A0A371MSS4_9EURY Methyl-accepting chemotaxis protein (Fragment) OS=Haloferax sp. Atlit-6N OX=2077205 GN=DEQ92_21705 PE=4 SV=1
A0A0M9WYB2/29-179    -            151 Bac_globin           PF01152.28   121      0.01   14.6   0.1   1   1    0.0013     0.021   13.5   0.1    10    58    28    75    26   138 0.77 tr|A0A0M9WYB2|A0A0M9WYB2_9BACI Chemotaxis protein OS=Lysinibacillus contaminans OX=1293441 GN=AEA09_16945 PE=4 SV=1
A0A1H8HAV9/8-157     -            150 Bac_globin           PF01152.28   121      0.01   14.6   0.0   1   1     0.001     0.016   13.9   0.0    15    57    32    73    21    83 0.81 tr|A0A1H8HAV9|A0A1H8HAV9_9BACL Heam-based aerotactic trancducer OS=Paenibacillus sp. OV219 OX=1884377 GN=SAMN05518847_103146 PE=4 SV=1
A0A3D9INP8/8-157     -            150 Bac_globin           PF01152.28   121      0.01   14.6   0.0   1   1    0.0012     0.019   13.7   0.0    14    57    31    73    13    84 0.89 tr|A0A3D9INP8|A0A3D9INP8_9BACL Heme-based aerotactic transducer OS=Cohnella phaseoli OX=456490 GN=DFP98_12641 PE=4 SV=1
A0A1Z9BGG6/8-148     -            141 Bac_globin           PF01152.28   121     0.011   14.5   0.0   1   1    0.0008     0.013   14.2   0.0    10   119    19   127    17   129 0.87 tr|A0A1Z9BGG6|A0A1Z9BGG6_9BACT Uncharacterized protein OS=bacterium TMED88 OX=1986661 GN=CBC48_09370 PE=4 SV=1
A0A2D7PLX5/8-148     -            141 Bac_globin           PF01152.28   121     0.011   14.5   0.0   1   1    0.0008     0.013   14.2   0.0    10   119    19   127    17   129 0.87 tr|A0A2D7PLX5|A0A2D7PLX5_9DELT Uncharacterized protein OS=Deltaproteobacteria bacterium OX=2026735 GN=CL936_08650 PE=4 SV=1
A0A2H4ZWI3/37-197    -            161 Bac_globin           PF01152.28   121     0.011   14.5   0.1   1   1    0.0015     0.024   13.4   0.1    10    80    28    98    25   143 0.67 tr|A0A2H4ZWI3|A0A2H4ZWI3_9EURY Methyl-accepting chemotaxis protein OS=Haloarcula taiwanensis OX=1932004 GN=BVU17_04555 PE=4 SV=1
A0A1G9VKP5/33-195    -            163 Bac_globin           PF01152.28   121     0.011   14.5   0.1   1   1   0.00097     0.016   14.0   0.1    13    62    32    83    27   145 0.74 tr|A0A1G9VKP5|A0A1G9VKP5_9EURY Heam-based aerotactic trancducer OS=Halogranum gelatinilyticum OX=660521 GN=SAMN04487949_2414 PE=4 SV=1
A0A0D7WZP1/8-157     -            150 Bac_globin           PF01152.28   121     0.011   14.5   0.0   1   1   0.00095     0.015   14.0   0.0    11    57    28    73    10    83 0.85 tr|A0A0D7WZP1|A0A0D7WZP1_9BACL Chemotaxis protein OS=Paenibacillus terrae OX=159743 GN=QD47_18470 PE=4 SV=1
M0JVH3/13-173        -            161 Bac_globin           PF01152.28   121     0.011   14.5   0.1   1   1    0.0014     0.023   13.4   0.1    10    80    28    98    25   144 0.66 tr|M0JVH3|M0JVH3_9EURY Heme-based aerotactic transducer HemAT OS=Haloarcula sinaiiensis ATCC 33800 OX=662476 GN=C436_12208 PE=4 SV=1
M0KLY9/37-197        -            161 Bac_globin           PF01152.28   121     0.011   14.5   0.1   1   1    0.0014     0.023   13.4   0.1    10    80    28    98    25   144 0.66 tr|M0KLY9|M0KLY9_9EURY Heme-based aerotactic transducer HemAT OS=Haloarcula californiae ATCC 33799 OX=662475 GN=C435_04858 PE=4 SV=1
Q5V5F5/37-197        -            161 Bac_globin           PF01152.28   121     0.011   14.5   0.1   1   1    0.0014     0.023   13.4   0.1    10    80    28    98    25   144 0.66 tr|Q5V5F5|Q5V5F5_HALMA Globin-coupled sensor protein OS=Haloarcula marismortui (strain ATCC 43049 / DSM 3752 / JCM 8966 / VKM B-1809) OX=272569 GN=htr PE=4 SV=1
A0A0B5AKR6/36-184    -            149 Bac_globin           PF01152.28   121     0.011   14.5   0.0   1   1   0.00079     0.013   14.3   0.0    10    79    25    93    23   139 0.80 tr|A0A0B5AKR6|A0A0B5AKR6_9BACL Methyl-accepting transducer domain-containing protein OS=Jeotgalibacillus malaysiensis OX=1508404 GN=JMA_13290 PE=4 SV=1
A0A2M9N5U8/9-157     -            149 Bac_globin           PF01152.28   121     0.011   14.5   0.0   1   1    0.0012     0.019   13.7   0.0    11    54    27    69    24    90 0.84 tr|A0A2M9N5U8|A0A2M9N5U8_9BACL Heme-based aerotactic transducer HemAT OS=Paenibacillus sp. GM2FR OX=2059268 GN=hemAT PE=4 SV=1
A0A1Q5P7Z8/11-162    -            152 Bac_globin           PF01152.28   121     0.011   14.5   0.1   1   1   0.00097     0.016   14.0   0.1    10    58    28    75    26   142 0.74 tr|A0A1Q5P7Z8|A0A1Q5P7Z8_9BACI Chemotaxis protein OS=Domibacillus mangrovi OX=1714354 GN=BLL40_02230 PE=4 SV=1
A0A0M0XCS5/16-167    -            152 Bac_globin           PF01152.28   121     0.011   14.5   0.0   1   1   0.00096     0.015   14.0   0.0    11    97    28   113    25   136 0.72 tr|A0A0M0XCS5|A0A0M0XCS5_9BACI Methyl-accepting transducer domain-containing protein OS=Bacillus sp. FJAT-21945 OX=1581033 GN=AMS60_07080 PE=4 SV=1
A0A0Q3VKJ4/16-167    -            152 Bac_globin           PF01152.28   121     0.011   14.5   0.0   1   1   0.00096     0.015   14.0   0.0    11    97    28   113    25   136 0.72 tr|A0A0Q3VKJ4|A0A0Q3VKJ4_9BACI Methyl-accepting transducer domain-containing protein OS=Bacillus solani OX=1637975 GN=AN957_12345 PE=4 SV=1
A0A0A2SL35/52-201    -            150 Bac_globin           PF01152.28   121     0.011   14.5   0.0   1   1     0.001     0.016   13.9   0.0    10    57    27    73    25    95 0.84 tr|A0A0A2SL35|A0A0A2SL35_9BACI Chemotaxis protein OS=Anoxybacillus gonensis OX=198467 GN=NP92_08125 PE=4 SV=1
A0A346DJK8/52-201    -            150 Bac_globin           PF01152.28   121     0.011   14.5   0.0   1   1     0.001     0.016   13.9   0.0    10    57    27    73    25    95 0.84 tr|A0A346DJK8|A0A346DJK8_9BACI Chemotaxis protein OS=Anoxybacillus kamchatkensis G10 OX=1212546 GN=B379_14590 PE=4 SV=1
M5RAX2/52-201        -            150 Bac_globin           PF01152.28   121     0.011   14.5   0.0   1   1     0.001     0.016   13.9   0.0    10    57    27    73    25    95 0.84 tr|M5RAX2|M5RAX2_9BACI Methyl-accepting chemotaxis protein OS=Anoxybacillus gonensis OX=198467 GN=F510_0841 PE=4 SV=1
A0A1Y2JZ84/27-179    -            153 Bac_globin           PF01152.28   121     0.011   14.4   0.0   1   1    0.0012      0.02   13.7   0.0    11    57    30    76    27    86 0.92 tr|A0A1Y2JZ84|A0A1Y2JZ84_9PROT Putative methyl-accepting chemotaxis sensory transducer OS=Magnetofaba australis IT-1 OX=1434232 GN=MAIT1_00677 PE=4 SV=1
A0A327YDP6/54-201    -            148 Bac_globin           PF01152.28   121     0.011   14.4   0.0   1   1     0.001     0.016   13.9   0.0    10    57    25    71    23    89 0.85 tr|A0A327YDP6|A0A327YDP6_9BACI Heme-based aerotactic transducer OS=Anoxybacillus vitaminiphilus OX=581036 GN=B0I26_108130 PE=4 SV=1
A0A0G2ZSN1/4-153     -            150 Bac_globin           PF01152.28   121     0.011   14.4   0.0   1   1   0.00087     0.014   14.1   0.0    11    58    26    72     9   117 0.90 tr|A0A0G2ZSN1|A0A0G2ZSN1_9DELT Flagellar sensor histidine kinase FleS OS=Archangium gephyra OX=48 GN=AA314_06239 PE=4 SV=1
A0A0B0IP24/36-188    -            153 Bac_globin           PF01152.28   121     0.012   14.4   0.0   1   1   0.00089     0.014   14.1   0.0     9    80    27    97    25   140 0.75 tr|A0A0B0IP24|A0A0B0IP24_9BACI Methyl-accepting transducer domain-containing protein OS=Bacillus okhensis OX=333138 GN=LQ50_03935 PE=4 SV=1
A0A3E0BQV1/4-157     -            154 Bac_globin           PF01152.28   121     0.012   14.4   0.0   1   1   0.00091     0.015   14.1   0.0    11    58    30    76     9   121 0.90 tr|A0A3E0BQV1|A0A3E0BQV1_9DELT Phospho-acceptor domain-containing protein OS=Archangium gephyra OX=48 GN=ATI61_101310 PE=4 SV=1
A0A1R1D4I9/8-156     -            149 Bac_globin           PF01152.28   121     0.012   14.4   0.1   1   1    0.0016     0.025   13.3   0.0    10    57    27    73    25    81 0.84 tr|A0A1R1D4I9|A0A1R1D4I9_9BACL Chemotaxis protein OS=Paenibacillus sp. FSL H8-0548 OX=1920422 GN=BK133_14945 PE=4 SV=1
A0A3E0WVF2/23-172    -            150 Bac_globin           PF01152.28   121     0.012   14.3   0.0   1   1     0.001     0.016   13.9   0.0    11    76    28    92    26   134 0.77 tr|A0A3E0WVF2|A0A3E0WVF2_9BACI Chemotaxis protein OS=Virgibacillus dokdonensis OX=302167 GN=CAI16_05935 PE=4 SV=1
A0A177G1N4/8-175     -            168 Bac_globin           PF01152.28   121     0.013   14.3   0.0   1   1    0.0011     0.019   13.7   0.0    10    57    28    74    18    99 0.73 tr|A0A177G1N4|A0A177G1N4_GLUJA Methyl-accepting chemotaxis protein OS=Gluconobacter japonicus OX=376620 GN=A0J51_00528 PE=4 SV=1
A0A3A8Q037/8-161     -            154 Bac_globin           PF01152.28   121     0.013   14.2   0.0   1   1     0.001     0.016   13.9   0.0     9    98    27   116    25   145 0.73 tr|A0A3A8Q037|A0A3A8Q037_9DELT GHKL domain-containing protein OS=Corallococcus sp. CA051B OX=2316731 GN=D7V93_10870 PE=4 SV=1
A0A2X0XMA5/28-178    -            151 Bac_globin           PF01152.28   121     0.013   14.2   0.1   1   1    0.0025      0.04   12.7   0.1    12   107    30   125    26   138 0.67 tr|A0A2X0XMA5|A0A2X0XMA5_BACCI Putative heme-based aerotactic transducer (MCP) OS=Bacillus circulans OX=1397 GN=hemAT_2 PE=4 SV=1
S9PI13/5-156         -            152 Bac_globin           PF01152.28   121     0.013   14.2   0.0   1   1    0.0011     0.018   13.8   0.0     9    59    27    76    25   110 0.82 tr|S9PI13|S9PI13_9DELT Flagellar sensor histidine kinase FleS OS=Cystobacter fuscus DSM 2262 OX=1242864 GN=D187_009935 PE=4 SV=1
A0A3M1T832/7-158     -            152 Bac_globin           PF01152.28   121     0.013   14.2   0.0   1   1    0.0015     0.024   13.4   0.0    10    59    25    74    22    99 0.85 tr|A0A3M1T832|A0A3M1T832_9DELT PAS domain S-box protein (Fragment) OS=Deltaproteobacteria bacterium OX=2026735 GN=D6729_15960 PE=4 SV=1
A0A2A7EEZ4/28-180    -            153 Bac_globin           PF01152.28   121     0.013   14.2   0.0   1   1    0.0028     0.045   12.5   0.0    10    82    28    99    26   138 0.65 tr|A0A2A7EEZ4|A0A2A7EEZ4_BACCE Methyl-accepting transducer domain-containing protein OS=Bacillus cereus OX=1396 GN=COA01_16275 PE=4 SV=1
A0A2B0ECC2/28-180    -            153 Bac_globin           PF01152.28   121     0.013   14.2   0.0   1   1    0.0028     0.045   12.5   0.0    10    82    28    99    26   138 0.65 tr|A0A2B0ECC2|A0A2B0ECC2_BACTU Methyl-accepting transducer domain-containing protein OS=Bacillus thuringiensis OX=1428 GN=COJ15_05425 PE=4 SV=1
J2QIS1/1-144         -            144 Bac_globin           PF01152.28   121     0.013   14.2   0.0   1   1     0.001     0.016   13.9   0.0    10    77    21    87    19   129 0.81 tr|J2QIS1|J2QIS1_9BACL Diguanylate cyclase (GGDEF) domain-containing protein OS=Brevibacillus sp. CF112 OX=1144311 GN=PMI08_04801 PE=4 SV=1
A0A063ZQ39/33-158    -            126 Bac_globin           PF01152.28   121     0.014   14.2   0.0   1   1    0.0011     0.018   13.8   0.0    13    57    31    75    24   102 0.76 tr|A0A063ZQ39|A0A063ZQ39_9EURY Heme transporter CcmD OS=Halostagnicola sp. A56 OX=1495067 GN=EL22_21340 PE=4 SV=1
